dataset,model_family,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,tree,7,3,covariate_shift,r1_all_mutable,fixed_blend,2,0.22435897435897434,0.8680178102319935,1.0728483433116827,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,2,0.22435897435897434,0.8680178102319935,1.0728483433116827,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_all_mutable,knn_mean_k5,2,0.0,1.2400933433121502,222.8709908259442,
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_alpha,2,0.20512820512820507,0.33278969550969295,18.720822791549097,0.1217948717948718
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router,2,0.3782051282051282,1.2748460636015517,152.65178167370016,0.12820512820512825
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,2,0.3782051282051282,0.6176120088050747,153.34389268739366,0.12820512820512825
adult,tree,7,3,covariate_shift,r1_all_mutable,learned_router_no_shift,2,0.29487179487179493,0.7916586087166269,69.82260790305028,0.12820512820512825
adult,tree,7,3,covariate_shift,r1_all_mutable,nn_positive_train,2,0.0,1.1363389681813105,223.0274993029721,
adult,tree,7,3,covariate_shift,r1_all_mutable,projection_only,2,0.08333333333333333,0.063054336384046,140.84597038342736,0.14102564102564105
adult,tree,7,3,covariate_shift,r1_all_mutable,rule_router,2,0.08333333333333333,0.063054336384046,140.84597038342736,0.14102564102564105
adult,tree,7,3,covariate_shift,r1_all_mutable,safe_router,2,0.08333333333333333,0.0,224.25323149711932,0.20512820512820512
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router,2,0.22435897435897434,0.8680178102319935,1.0728483433116827,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router_guarded,2,0.22435897435897434,0.8680178102319935,1.0728483433116827,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router_no_geometry,2,0.22435897435897434,0.8680178102319935,1.0728483433116827,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_all_mutable,utility_router_no_shift,2,0.22435897435897434,0.8680178102319935,1.0728483433116827,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_immutable_only,fixed_blend,2,0.22435897435897434,0.7587011323389259,1.0089179547356242,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_immutable_only,fixed_blend_no_repair,2,0.22435897435897434,0.7587011323389259,1.0089179547356242,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_immutable_only,knn_mean_k5,2,0.0,1.2954397291375699,222.7716684175769,
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_alpha,2,0.20512820512820507,0.3103614894511255,18.696409381766642,0.1217948717948718
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_router,2,0.3782051282051282,1.13147303605718,152.84689988428627,0.12820512820512825
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_router_no_geometry,2,0.3782051282051282,0.5902828393318074,153.42453060707487,0.12820512820512825
adult,tree,7,3,covariate_shift,r1_immutable_only,learned_router_no_shift,2,0.29487179487179493,0.7466705912760174,69.9196373211477,0.12820512820512825
adult,tree,7,3,covariate_shift,r1_immutable_only,nn_positive_train,2,0.0,0.9905833976572174,223.12270755316896,
adult,tree,7,3,covariate_shift,r1_immutable_only,projection_only,2,0.08333333333333333,0.063054336384046,140.79089406682988,0.14102564102564105
adult,tree,7,3,covariate_shift,r1_immutable_only,rule_router,2,0.08333333333333333,0.063054336384046,140.79089406682988,0.14102564102564105
adult,tree,7,3,covariate_shift,r1_immutable_only,safe_router,2,0.08333333333333333,0.0,224.19480250709836,0.20512820512820512
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router,2,0.22435897435897434,0.7587011323389259,1.0089179547356242,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router_guarded,2,0.22435897435897434,0.7587011323389259,1.0089179547356242,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router_no_geometry,2,0.22435897435897434,0.7587011323389259,1.0089179547356242,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_immutable_only,utility_router_no_shift,2,0.22435897435897434,0.7587011323389259,1.0089179547356242,0.019230769230769218
adult,tree,7,3,covariate_shift,r1_structural,fixed_blend,2,0.07051282051282048,0.04342171889865121,0.3107496477427705,0.08974358974358973
adult,tree,7,3,covariate_shift,r1_structural,fixed_blend_no_repair,2,0.07051282051282048,0.04342171889865121,0.3107496477427705,0.08974358974358973
adult,tree,7,3,covariate_shift,r1_structural,knn_mean_k5,2,0.0,0.32250898881114853,70.5744713159338,
adult,tree,7,3,covariate_shift,r1_structural,learned_alpha,2,0.02564102564102566,0.6086780115614432,95.29974725190166,0.10897435897435892
adult,tree,7,3,covariate_shift,r1_structural,learned_router,2,0.14743589743589736,0.9226902542803503,76.21386491146498,0.05128205128205132
