model_family,constraint,fixed_blend,utility_router_guarded,guard_gain
logistic,r1_all_mutable,371.26421476798583,370.9990029802164,0.2652117877694309
logistic,r2_realistic,257.23899830156785,256.45567593952165,0.7833223620461922
rf,r1_all_mutable,211.5483388131837,211.3464198657524,0.20191894743129524
rf,r2_realistic,305.70284426856927,304.37470225118443,1.3281420173848346
tree,r1_all_mutable,20.697394940318812,19.97734640270205,0.720048537616762
tree,r2_realistic,20.901148299288838,20.89119569745021,0.009952601838627118
