query_id,dataset,guarded_utility,cascade_utility,delta_utility,outcome
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=17,adult,2.37345416362354,2.37345416362354,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=18,adult,2.351327967800528,2.351327967800528,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=20,adult,2.3369979561653373,2.3369979561653373,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=22,adult,2.616842427527732,2.616842427527732,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=25,adult,2.435403831931881,2.435403831931881,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=26,adult,2.4113016753525787,2.4113016753525787,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=27,adult,2.491542599633073,2.491542599633073,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=28,adult,2.4664890070649164,2.4664890070649164,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=31,adult,2.412175464935446,2.412175464935446,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=32,adult,2.408359777043125,2.408359777043125,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=33,adult,2.376762958181816,2.376762958181816,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=34,adult,2.548787518915288,2.548787518915288,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=35,adult,2.5756847629128288,2.5756847629128288,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=38,adult,2.4358197861840263,2.4358197861840263,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=0,adult,2.444378954728073,2.444378954728073,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=1,adult,2.37345416362354,2.37345416362354,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=2,adult,2.616842427527732,2.616842427527732,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=3,adult,2.435403831931881,2.435403831931881,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=4,adult,2.491542599633073,2.491542599633073,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=5,adult,2.4664890070649164,2.4664890070649164,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=6,adult,2.408359777043125,2.408359777043125,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=7,adult,2.548787518915288,2.548787518915288,0.0,tie
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=8,adult,2.5756847629128288,2.5756847629128288,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,2.680662120633306,2.680662120633306,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=2,adult,3.695817505739002,3.695817505739002,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=3,adult,2.494134635103798,2.494134635103798,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=4,adult,2.551294674539973,2.551294674539973,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=5,adult,5.749107189730499,5.749107189730499,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=7,adult,4.811117764631344,4.811117764631344,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=9,adult,2.610046463179811,2.610046463179811,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=11,adult,0.3719195495139403,0.3719195495139403,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=12,adult,2.5443914874018083,2.5443914874018083,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=13,adult,0.4803527905873002,0.4803527905873002,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=14,adult,2.674583343501199,2.674583343501199,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=15,adult,0.3831794328814161,0.3831794328814161,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=16,adult,0.3933536949757261,0.3933536949757261,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=17,adult,0.3933489584387215,0.3933489584387215,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=19,adult,2.478078188647923,2.478078188647923,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=20,adult,2.501631277865925,2.501631277865925,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=21,adult,1.3379659031695752,1.3379659031695752,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=22,adult,4.770230159754517,4.770230159754517,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=23,adult,0.705978493678763,0.705978493678763,0.0,tie
