method,utility,valid,runtime_sec,accepted_exact,escalated_exact
cascade_exact_auto,2.2535817012130273,1.0,0.03512675552538886,0.022099447513812154,0.5883977900552486
exact_tree_milp,186.8295840936217,0.8149171270718232,0.06501142734929256,0.0,0.0
fixed_blend,24.678915090371884,0.9779005524861878,5.0665743492062055e-05,0.0,0.0
utility_router_guarded,24.457962589762662,0.9779005524861878,3.91276215604388e-05,0.0,0.0
