constraint,method,utility,valid,cost_l1,runtime_sec
r1_all_mutable,dice_random,11.097562911724754,0.9937304075235109,4.23580584756774,0.061436545771442974
r1_all_mutable,fixed_blend,46.09161764875455,0.9608150470219435,6.06345739406092,9.957915350799552e-05
r1_all_mutable,knn_mean_k5,11.194894699148714,1.0,9.884695514294883,9.492155000987845e-07
r1_all_mutable,nn_positive_train,9.896704033329776,1.0,9.090967219664519,1.0409097181382038e-06
r1_all_mutable,utility_router_guarded,45.27233513704911,0.9608150470219435,5.295303371405187,8.278369880207421e-05
r2_realistic,dice_random,11.306453434539756,0.9937304075235109,4.4380681462492175,0.06419329858822218
r2_realistic,fixed_blend,8.279727968145181,0.9952978056426333,3.011783856785524,8.91545431638633e-05
r2_realistic,knn_mean_k5,8.247914716668612,1.0,7.465922825177397,9.91850148384287e-07
r2_realistic,nn_positive_train,20.63754006635114,0.987460815047022,7.363170845137652,9.882427331609039e-07
r2_realistic,utility_router_guarded,7.685686265581914,0.9952978056426333,2.454699272807951,4.390360229884354e-05
