dataset,constraint,query_id,utility_guarded,valid_guarded,utility_tree_milp,valid_tree_milp,milp_better,guarded_better,tie
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=61,0.6144840871254698,1.0,2.4073175243606677,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=62,1005.6602121881888,0.0,2.426202298228572,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=64,0.6644844532819065,1.0,2.447797824035976,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=70,7.303311769213402,1.0,2.4649473172947305,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=78,10.405592410155595,1.0,3.664331601835187,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=80,5.10718319544499,1.0,2.415111681272702,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=covariate_shift|row=82,0.6814196962572376,1.0,2.484034988748769,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=4,1005.2213400385734,0.0,2.324356179672243,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=7,6.827338670415783,1.0,2.411789102905487,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=9,8.448948463838025,1.0,2.5052435768216217,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=10,0.5716090645340405,1.0,2.432935715639627,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=11,7.380518147872785,1.0,2.366199746385018,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=13,1005.6983648902102,0.0,2.3964969976084958,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=14,6.2104635297118005,1.0,2.411831596213385,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=16,1006.665166125094,0.0,2.4043629295144524,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=19,6.343388156268141,1.0,2.432639547446648,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=30,7.279204482755716,1.0,2.403466381955783,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=33,1006.24794263692,0.0,2.388495231276316,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=40,1006.7534080370062,0.0,2.4454109744811183,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=42,7.281687125066314,1.0,2.410826665916956,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=48,1005.5726459563872,0.0,2.375667906870239,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=56,0.5392709772870727,1.0,2.392034168620985,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=60,1003.814819592646,0.0,2.392369022888491,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=61,6.560168240414764,1.0,2.399309857127353,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=62,8.055355880123152,1.0,2.4076819092086037,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=64,7.024257328189501,1.0,2.417788641224244,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=exemplar_mismatch|row=70,7.001054761717431,1.0,2.470532947527815,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=1,5.833766045760711,1.0,2.411789102905487,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=2,0.5716090645340405,1.0,2.432935715639627,1.0,0,1,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=3,6.392627269717727,1.0,2.432639547446648,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=7,6.05872170443138,1.0,2.4454109744811183,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=9,4.5749645712646565,1.0,2.375667906870239,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=12,1003.7747880709948,0.0,2.392369022888491,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=13,5.374343091719245,1.0,2.417788641224244,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=15,7.052691023790586,1.0,2.470532947527815,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=18,5.211216037879955,1.0,2.4356975333288435,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=20,4.59350094351161,1.0,2.382272436147377,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=21,6.279619026278249,1.0,2.439171461837006,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=22,5.259032334518831,1.0,2.3942621902458208,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=23,4.891973896647059,1.0,2.404643918159342,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=25,4.977417065644195,1.0,2.345569038635684,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=27,7.034513133490515,1.0,3.501697542872789,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=28,6.540883241989246,1.0,3.555865174635409,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=29,5.893362310798775,1.0,2.484836860804952,1.0,1,0,0
adult,r1_all_mutable,adult|seed=7|depth=3|constraint=r1_all_mutable|setting=subgroup_shift|row=30,7.32651560688837,1.0,2.549630100805359,1.0,1,0,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=4,1.3205764910335671,1.0,2.324356179672243,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=7,2.4117890863421265,1.0,2.411789102905487,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=9,2.5052435086246785,1.0,2.5052435768216217,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=10,0.5716090645340405,1.0,2.432935715639627,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=11,1.4177223027790755,1.0,2.366199746385018,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=13,2.396496981830176,1.0,2.3964969976084958,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=14,1.4084543915271015,1.0,2.411831596213385,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=16,2.404362915646551,1.0,2.4043629295144524,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=19,1.3797560062691092,1.0,2.432639547446648,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=30,2.4034663406569425,1.0,2.403466381955783,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=33,1.332893290917788,1.0,2.388495231276316,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=40,1.4376123207788374,1.0,2.4454109744811183,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=42,2.4108266515377665,1.0,2.410826665916956,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=48,0.8941284747389429,1.0,2.375667906870239,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=56,0.5392709772870727,1.0,2.392034168620985,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=60,2.3923690094408188,1.0,2.392369022888491,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=61,1.356048161307329,1.0,2.399309857127353,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=62,2.407681893318287,1.0,2.4076819092086037,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=64,1.4031546707674505,1.0,2.417788641224244,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=70,2.470532876307544,1.0,2.470532947527815,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=4,0.5899516206778115,1.0,2.3679558119312003,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=7,1.0985365524347095,1.0,2.423990255520834,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=9,2.4716710188318887,1.0,2.471671043291396,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=11,0.6692849104655114,1.0,2.394471499313344,1.0,0,1,0
